mirna_info	isomiR_rpm_embryo	miRNA_rpm_embryo	Total_rpm_embryo	isomiR_rpm_L1	miRNA_rpm_L1	Total_rpm_L1	isomiR_rpm_L2	miRNA_rpm_L2	Total_rpm_L2	isomiR_rpm_L3	miRNA_rpm_L3	Total_rpm_L3	isomiR_rpm_L4	miRNA_rpm_L4	Total_rpm_L4	isomiR_rpm_YA	miRNA_rpm_YA	Total_rpm_YA	isomiR_rpm_dauer	miRNA_rpm_dauer	Total_rpm_dauer
cel-miR-85-3p	21.7833171133814	226.452469272202	248.235786385584	0.31642089991686	1.10747314970901	1.42389404962587	0.133332533338133	1.5999904000576	1.73332293339573	191.648521310829	1531.34216896788	1722.9906902787	403.167929647364	2817.99326759744	3221.16119724481	374.730435714845	2172.84276413177	2547.57319984661	9.42065012859187	84.1507511486578	93.5714012772496
cel-miR-242	139.946058865105	999.211726006616	1139.15778487172	57.2721828849517	314.997005867235	372.269188752186	60.1329725354981	286.531614143648	346.664586679147	51.3524058853885	220.681090651261	272.033496536649	35.967263433271	157.7540903143	193.721353747571	21.6063763550373	100.774778266624	122.381154621662	413.661805646484	2865.04198910782	3278.70379475431
cel-miR-1820-5p	100.924145474947	208.587014948997	309.511160423944	714.478392012271	505.95701896706	1220.43541097933	591.596450421298	521.596870418778	1113.19332084008	367.186483912516	212.961447936464	580.14793184898	316.010049420693	189.706403410834	505.716452831527	221.176722840496	111.16563101752	332.342353858016	274.257353743613	735.33996003739	1009.597313781
cel-miR-236-3p	41.0592020410498	939.503497084327	980.562699125376	343.63309730971	186.688330950948	530.321428260658	192.798843206941	235.065256275129	427.86409948207	74.8469706695532	411.658338682542	486.505309352095	91.0055409660439	536.497738746512	627.503279712556	90.878728027676	341.413733243719	432.292461271395	147.978302019904	1213.99366657101	1361.97196859092
cel-miR-234-3p	6.89543851071065	145.117637748138	152.013076258848	25.9465137931826	896.578619914424	922.525133707607	43.4664058682315	1347.99191204853	1391.45831791676	18.6278335074448	513.691877173772	532.319710681217	13.048588594396	382.758598768949	395.807187363345	6.76230099661473	181.592521884703	188.354822881318	65.4153008929189	781.384710665901	846.80001155882
cel-miR-76-3p	34.0070490187321	951.57051447807	985.577563496802	49.8362917369055	527.948271511282	577.784563248187	54.1330085352821	465.463873883423	519.596882418706	9.56564423355276	144.995028382273	154.560672615826	4.85139832355749	104.05412956044	108.905527883997	5.27789346077247	75.539850157306	80.8177436180784	102.886201404397	1781.13797431253	1884.02417571693
cel-miR-77-5p(*)	1.88057413928472	5.79843692946123	7.67901106874596	0.949262699750581	12.8150464466328	13.7643091463834	3.86664346680587	53.7330109352677	57.5996544020736	41.6189433319488	317.680079545884	359.299022877832	173.312022869157	2276.81142012474	2450.12344299389	141.678452587611	1172.84688748603	1314.52534007364	3.38720004623528	10.4791501430404	13.8663501892757
cel-miR-245-3p	13.1640189749931	481.113550633675	494.277569608668	92.2366923257648	727.451648908862	819.688341234627	105.999364003816	897.86127949899	1003.86064350281	46.1500379688949	301.905157476516	348.055195445411	39.313055380552	249.763368864529	289.076424245081	20.121968819195	145.63687268319	165.758841502385	45.3038006183969	812.822161095023	858.125961713419
cel-miR-230-3p	4.70143534821181	21.1564590669531	25.8578944151649	92.5531132256817	482.858293273129	575.411406498811	330.131352545218	1539.05743232207	1869.18878486729	108.074998007157	412.665248601864	520.740246609021	39.8149241726442	119.277482920569	159.092407093213	19.9570346485459	67.293141624849	87.2501762733949	81.6103511139813	389.422155315612	471.032506429594
cel-miR-252-5p	62.37237561961	771.505540641558	833.877916261168	88.4396415267625	215.482632843382	303.922274370144	134.932523738191	282.664970676843	417.597494415034	45.6465830092342	105.22208656908	150.868669578315	62.9008886088833	185.858742671461	248.759631280344	47.6659753176014	137.060295809435	184.726271127036	165.866952264084	1328.84091813868	1494.70787040276
cel-miR-83-3p	102.021147056196	589.246563642547	691.267710698743	46.0392409379032	70.0872293315846	116.126470269488	55.999664002016	72.9328957359589	128.932559737975	38.9338502137586	30.710752539301	69.6446027530595	33.4579194728103	34.7962362517227	68.2541557245329	23.0907838908796	25.2349281093184	48.3257120001979	355.973554859039	2090.2199785315	2446.19353339054
cel-miR-248	26.014608926772	26.1713234383791	52.1859323651511	274.020499328001	248.390406434735	522.410905762737	343.064608279017	327.998032011808	671.062640290825	345.034465687447	311.470801710069	656.505267397515	377.238042055936	388.613734676691	765.851776732627	311.725582526874	249.21553185085	560.941114377724	162.585602219294	123.421101684698	286.006703903992
cel-miR-241-5p	3.44771925535533	40.2756294830145	43.7233487383698	2.68957764929331	41.2929274391503	43.9825050884436	40.9330877348069	515.863571485238	556.796659220045	81.0562485053681	1168.68677969231	1249.74302819767	64.2392053877957	906.876907310522	971.116112698318	41.7283451742323	508.162179769999	549.890524944232	1.79945002456249	34.2954004681322	36.0948504926947
cel-miR-80-5p(*)	20.3728865089178	640.962352472877	661.335238981795	54.7408156856169	67.8722830321666	122.613098717783	96.7994192034848	339.597962412226	436.39738161571	86.9298897014093	445.725457619581	532.65534732099	178.832579582171	703.452756915836	882.285336498006	138.379769174628	349.825375946825	488.205145121453	10.3733001415955	275.739253763841	286.112553905436
cel-miR-254-3p	61.9022320847888	0	61.9022320847888	1133.26145305224	0	1133.26145305224	1157.85971950835	0.133332533338133	1157.99305204169	207.087806740423	0	207.087806740423	158.255959106393	0	158.255959106393	118.257800355433	0	118.257800355433	265.68350362658	0	265.68350362658
cel-miR-63-5p(*)	7.5222965571389	45.2904938544404	52.8127904115793	99.5143730238526	846.267696827643	945.782069851496	66.9329317357429	477.197136817179	544.130068552922	65.7847813956611	433.306901947951	499.091683343612	57.8822006879617	290.582030621357	348.464231309319	48.9854486827945	213.919619331934	262.905068014729	50.8080006935292	137.710851879753	188.518852573282
cel-miR-355-5p	18.3355978580261	936.055777828971	954.391375686997	12.1822046467991	179.885281602735	192.067486249534	13.7332509338277	151.465757872119	165.199008805947	10.0690991932134	120.3257353589	130.394834552114	12.3794302049398	117.2700077522	129.64943795714	17.6479562594579	181.427587714054	199.075543973512	19.7939502701874	979.747613373555	999.541563643742
cel-miR-251	327.533329258756	713.051027812124	1040.58435707088	15.3464136459677	33.8570362911041	49.2034499370718	18.7998872006768	27.7331669343317	46.5330541350085	21.3129266256351	17.7887419080104	39.1016685336455	15.2233533601287	11.0411134260274	26.264466786156	10.8856552628432	11.5453919454398	22.431047208283	483.840356604421	945.452212905423	1429.29256950984
cel-miR-240-3p	69.5812431535348	58.9246563642547	128.505899517789	5.2209448486282	2.21494629941802	7.43589114804622	4.7999712001728	2.93331573343893	7.73328693361173	297.541881159457	204.738350262006	502.280231421463	654.771484082897	429.766975628248	1084.53845971114	451.424825066695	301.994466458575	753.41929152527	48.055900655963	39.9054505447094	87.9613512006724
cel-miR-785-3p	0.470143534821181	12.6938754401719	13.1640189749931	62.6513381835384	475.105981225166	537.757319408704	37.1997768013392	312.13146054457	349.331237345909	39.2694868535324	382.290132702336	421.559619555869	70.5962100876296	618.13506226017	688.731272347799	50.1399878773385	449.775483360204	499.915471237542	2.32870003178676	23.8162503250918	26.1449503568786
cel-miR-231-3p	70.9916737579983	1062.05424516105	1133.04591891905	21.9912525442218	93.6605863753907	115.651838919612	19.7332149340437	101.599390403658	121.332605337701	8.05527935457074	53.0305890842574	61.0858684388281	7.69532147874636	52.0270647802199	59.7223862589663	9.40124772700096	59.5412356043394	68.9424833313404	88.8081512122313	652.88280891185	741.690960124082
cel-miR-229-3p(*)	639.238492845199	38.5517698553368	677.790262700536	201.56011324704	12.9732568965913	214.533370143631	488.130404550906	49.7330349351237	537.86343948603	176.041417561348	11.4116457523086	187.453063313657	167.456886961415	9.03363825765877	176.490525219074	131.782402348663	10.5557869215449	142.338189270208	272.140353714716	27.0976003698822	299.237954084598
cel-miR-52-3p(*)	66.9170964562147	1949.05838085701	2015.97547731322	0.632841799833721	4.90452394871134	5.53736574854506	2.3999856000864	6.93329173358293	9.33327733366933	3.35636639773781	7.55182439491007	10.9081907926479	3.17850234991697	5.18597751828559	8.36447986820257	2.96881507168451	5.11295929012333	8.08177436180784	4.76325006501836	116.646701592227	121.409951657246
cel-miR-56-5p(*)	102.961434125839	1607.73417457683	1710.69560870267	0.31642089991686	1.89852539950116	2.21494629941802	0.266665066676267	0.933327733366933	1.1999928000432	1.51036487898201	0.16781831988689	1.6781831988689	2.50934396046077	1.50560637627646	4.01495033673723	1.48440753584226	2.14414421843882	3.62855175428107	35.4597504840256	419.483555725951	454.943306209976
cel-miR-793	1.41043060446354	57.3575112481841	58.7679418526476	104.735317872481	548.357419555919	653.0927374284	93.0661082700171	650.796095223429	743.862203493446	14.6001938301595	141.974298624309	156.574492454469	10.8738238286633	80.2990067347446	91.1728305634079	5.60776180207075	47.0062386350048	52.6140004370756	15.6658002138382	322.419104401021	338.084904614859
cel-miR-787-3p	19.5893139508825	651.148795727335	670.738109678218	6.64483889825407	159.792554458015	166.437393356269	12.3999256004464	291.464917877159	303.864843477606	5.37018623638049	88.6080729002782	93.9782591366587	3.01121275255292	50.1868792092154	53.1980919617683	2.63894673038623	44.0374235633203	46.6763702937065	15.4541002109485	601.651408212542	617.10550842349
